clip_id,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20,l21,l22,l23,l24,l25,l26,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26
1,2,5,3,5,4,2,3,4,4,4,4,4,5,5,5,2,4,4,4,3,5,5,4,5,5,5,3,5,3,4,4,3,3,1,4,3,3,1,1,4,3,3,3,2,3,2,3,3,3,4,2,4,1,3,1,3,3,2,3,2,3,3,3,2,3,3,3,1,3,3,3,2,3,3,3,3,3,3,1,3,1,3,2,2,2,2,2,2,3,2,3,3,3,1,3,2,3,1,1,2,3,3,3,3
2,5,5,4,4,4,5,4,4,4,3,4,3,3,4,5,5,5,4,5,5,4,5,5,5,5,5,3,4,4,4,3,4,1,1,4,3,4,2,1,4,3,3,4,2,4,4,3,3,3,4,4,4,3,3,3,3,3,3,3,2,3,2,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,1,3,3,1,2,3,2,3,2,3,2,1,2,3,3,3,3
3,3,3,3,4,2,3,3,3,4,3,3,2,3,2,4,3,3,3,3,3,3,4,3,2,3,4,5,2,3,3,1,3,2,1,3,2,3,3,1,3,2,3,1,1,3,1,3,2,1,4,1,4,3,2,1,3,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,3,1,1,1,3,3,2,1,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,3,1,1,1,1
4,2,2,4,3,4,2,2,4,3,3,2,5,4,1,5,4,4,3,5,1,2,5,4,1,4,4,4,4,4,4,3,4,3,1,4,3,2,5,1,5,5,3,4,2,4,5,5,3,4,5,4,4,2,2,3,2,3,3,2,2,1,1,1,3,3,2,3,2,3,2,3,1,1,3,3,1,3,3,3,3,2,3,3,3,2,1,2,2,2,3,3,1,3,2,3,2,3,1,1,3,2,1,3,3
5,2,4,4,4,4,2,2,3,4,3,3,4,4,2,5,1,4,2,4,4,3,5,4,2,3,4,5,4,3,2,4,3,3,1,2,3,3,3,1,4,3,3,3,2,3,4,4,3,4,3,1,4,1,2,2,2,2,1,2,2,2,2,2,2,3,3,2,1,3,1,3,3,2,3,3,1,1,2,1,2,2,2,3,2,2,1,2,2,2,2,3,2,2,1,3,1,3,2,1,3,3,1,1,2
6,5,4,3,3,5,4,3,3,2,3,4,4,5,5,5,4,4,2,4,4,5,4,4,1,5,3,3,2,3,3,4,3,2,1,3,3,3,4,1,5,4,3,2,3,3,4,4,5,4,5,3,4,3,2,2,2,3,3,3,2,1,2,2,3,3,3,3,1,3,1,2,3,3,2,3,1,3,2,3,2,2,2,3,1,2,1,2,2,2,2,3,3,3,1,2,1,2,2,1,2,2,1,3,2
7,5,3,2,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,3,5,3,5,4,5,5,4,4,2,2,4,4,4,1,1,2,4,4,2,1,2,3,3,4,2,3,4,3,2,2,5,4,4,3,1,1,3,3,2,2,2,2,2,3,3,3,2,3,2,3,3,3,3,2,2,3,3,3,2,3,1,1,3,2,2,2,1,1,2,3,3,3,1,2,2,3,3,2,2,1,1,2,3,3,2
8,5,4,4,5,4,5,3,4,2,4,3,4,4,2,5,5,3,4,4,5,2,5,3,1,5,3,3,3,4,4,3,4,2,1,2,3,2,3,1,4,4,3,2,4,3,4,3,3,4,4,3,3,3,3,3,3,2,3,2,2,2,2,2,3,3,1,3,3,2,2,2,3,1,3,3,1,3,2,3,1,3,3,1,3,2,1,1,2,2,3,2,2,3,3,2,2,2,3,1,2,3,1,3,3
9,5,4,3,4,5,3,3,3,3,3,5,4,4,4,5,5,5,4,5,4,4,4,3,5,4,3,3,4,1,4,3,3,1,1,1,3,2,2,1,2,2,3,5,2,3,4,1,3,2,4,3,3,3,3,1,3,3,2,3,2,2,2,3,2,3,1,3,3,3,2,3,3,3,3,2,3,3,2,3,3,1,3,2,2,2,1,2,2,3,2,2,1,3,3,3,1,3,3,1,1,2,3,1,1
10,1,2,2,3,2,1,3,3,3,2,1,1,2,2,1,1,1,2,1,2,1,1,2,1,1,3,5,3,3,3,4,4,4,3,2,4,3,1,4,3,4,3,4,4,3,4,3,5,4,5,3,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
11,2,2,2,2,2,1,3,3,2,1,1,1,1,3,3,1,2,3,1,1,1,1,1,1,1,2,4,4,3,4,2,4,4,3,2,4,4,4,3,3,3,3,4,2,3,5,3,4,5,5,4,3,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1
